subject,skill,format,gap_type,severity,official_available,validated_available,recommended_action
HISTORY,GUERRE_FROIDE_SKILL,"CHRONOLOGY,DEVELOPPEMENT_CONSTRUIT,DOCUMENT_ANALYSIS,EMC_DOCUMENT_ANALYSIS,MAP",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,36,0,REVIEW_EXISTING
HISTORY,INDUSTRIALISATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
HISTORY,PREMIERE_GUERRE_MONDIALE_SKILL,"CHRONOLOGY,DEVELOPPEMENT_CONSTRUIT,EMC_DOCUMENT_ANALYSIS,KNOWLEDGE",OFFICIAL_BUT_UNCERTIFIED,MEDIUM,19,0,REVIEW_EXISTING
HISTORY,REVOLUTION_FRANCAISE_SKILL,ANY,GAP,CRITICAL,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
HISTORY,SECONDE_GUERRE_MONDIALE_SKILL,"CHRONOLOGY,EMC_DOCUMENT_ANALYSIS,MAP",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,7,0,REVIEW_EXISTING
HISTORY,SOCIETE_AU_XIXE_SIECLE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
HISTORY,TOTALITARISMES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
MATHEMATICS,AIRES_ET_VOLUMES_SKILL,"ALGORITHM,DATA_ANALYSIS,FUNCTION,GEOMETRY,PROBABILITY",OFFICIAL_BUT_UNCERTIFIED,MEDIUM,109,0,REVIEW_EXISTING
MATHEMATICS,ALGORITHMIQUE_SKILL,ALGORITHM,OFFICIAL_BUT_UNCERTIFIED,MEDIUM,4,0,REVIEW_EXISTING
MATHEMATICS,CALCUL_LITTERAL_SKILL,"ALGORITHM,AUTOMATISM,CALCULATION,DATA_ANALYSIS,GEOMETRY,JUSTIFICATION,PROBLEM,REASONING",OFFICIAL_BUT_UNCERTIFIED,HIGH,39,0,REVIEW_EXISTING
MATHEMATICS,CONVERSIONS_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
MATHEMATICS,EQUATIONS_SKILL,"ALGORITHM,AUTOMATISM,DATA_ANALYSIS,PROBLEM",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,4,0,REVIEW_EXISTING
MATHEMATICS,FONCTIONS_SKILL,"ALGORITHM,DATA_ANALYSIS,FUNCTION",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,39,0,REVIEW_EXISTING
MATHEMATICS,FRACTIONS_SKILL,ANY,GAP,CRITICAL,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
MATHEMATICS,NOMBRES_RELATIFS_SKILL,REASONING,OFFICIAL_BUT_UNCERTIFIED,MEDIUM,1,0,REVIEW_EXISTING
MATHEMATICS,POURCENTAGES_SKILL,REASONING,OFFICIAL_BUT_UNCERTIFIED,HIGH,1,0,REVIEW_EXISTING
MATHEMATICS,PROBABILITES_SKILL,"ALGORITHM,PROBABILITY",OFFICIAL_BUT_UNCERTIFIED,HIGH,20,0,REVIEW_EXISTING
MATHEMATICS,PROPORTIONNALITE_SKILL,"DATA_ANALYSIS,REASONING",OFFICIAL_BUT_UNCERTIFIED,CRITICAL,4,0,REVIEW_EXISTING
MATHEMATICS,PUISSANCES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
MATHEMATICS,PYTHAGORE_SKILL,ANY,GAP,CRITICAL,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
MATHEMATICS,STATISTIQUES_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
MATHEMATICS,THALES_SKILL,ANY,GAP,CRITICAL,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
ORAL,ORAL_DEFENSE,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
PHYSICS_CHEMISTRY,ACIDES_ET_BASES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
PHYSICS_CHEMISTRY,ATOMES_ET_MOLECULES_SKILL,SCIENTIFIC_REASONING,OFFICIAL_BUT_UNCERTIFIED,MEDIUM,1,0,REVIEW_EXISTING
PHYSICS_CHEMISTRY,ELECTRICITE_SKILL,GRAPH_INTERPRETATION,OFFICIAL_BUT_UNCERTIFIED,HIGH,1,0,REVIEW_EXISTING
PHYSICS_CHEMISTRY,ENERGIE_SKILL,"CALCULATION,DIAGRAM,EXPERIMENT,GRAPH_INTERPRETATION,SCIENTIFIC_REASONING",OFFICIAL_BUT_UNCERTIFIED,HIGH,10,0,REVIEW_EXISTING
PHYSICS_CHEMISTRY,FORCES_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
PHYSICS_CHEMISTRY,LUMIERE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
PHYSICS_CHEMISTRY,MASSE_VOLUMIQUE_SKILL,"CALCULATION,GRAPH_INTERPRETATION,SCIENTIFIC_REASONING",OFFICIAL_BUT_UNCERTIFIED,MEDIUM,3,0,REVIEW_EXISTING
PHYSICS_CHEMISTRY,MOUVEMENT_ET_VITESSE_SKILL,DIAGRAM,OFFICIAL_BUT_UNCERTIFIED,MEDIUM,1,0,REVIEW_EXISTING
PHYSICS_CHEMISTRY,REACTIONS_CHIMIQUES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
PHYSICS_CHEMISTRY,SON_SKILL,"DIAGRAM,DOCUMENT_ANALYSIS,EXPERIMENT",OFFICIAL_BUT_UNCERTIFIED,MEDIUM,4,0,REVIEW_EXISTING
SVT,ADN_ET_GENETIQUE_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,CELLULE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,CLIMAT_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,ECOSYSTEMES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,EVOLUTION_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,GEOLOGIE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,IMMUNITE_SKILL,ANY,GAP,HIGH,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,NUTRITION_ET_DIGESTION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,REPRODUCTION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
SVT,RESPIRATION_ET_CIRCULATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
TECHNOLOGY,CHAINE_D_ENERGIE_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
TECHNOLOGY,CHAINE_D_INFORMATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
TECHNOLOGY,OBJETS_TECHNIQUES_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
TECHNOLOGY,PROGRAMMATION_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
TECHNOLOGY,RESEAUX_SKILL,ANY,GAP,MEDIUM,0,0,SEARCH_ADDITIONAL_OFFICIAL_SOURCE
