subject,chapter,skill_code,skill_name,brevet_importance,official_total,validated,compatible_2027,validated_compatible,playable_validated_compatible,years_present,formats_present,reliability_A,reliability_B,review,coverage_status
FRENCH,Homophones grammaticaux,HOMOPHONES_GRAMMATICAUX_SKILL,Homophones grammaticaux,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
FRENCH,Orthographe,ORTHOGRAPHE_SKILL,Orthographe,HIGH,1,0,0,0,0,1,1,0,0,1,OFFICIAL_BUT_UNCERTIFIED
FRENCH,Phrases complexes,PHRASES_COMPLEXES_SKILL,Phrases complexes,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
FRENCH,Vocabulaire,VOCABULAIRE_SKILL,Vocabulaire,MEDIUM,59,0,0,0,0,4,8,0,0,59,OFFICIAL_BUT_UNCERTIFIED
TECHNOLOGY,Développement durable,DEVELOPPEMENT_DURABLE_SKILL,Développement durable,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Espaces productifs,ESPACES_PRODUCTIFS_SKILL,Espaces productifs,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,France et territoires,FRANCE_ET_TERRITOIRES_SKILL,France et territoires,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Inégalités mondiales,INEGALITES_MONDIALES_SKILL,Inégalités mondiales,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Mobilités humaines,MOBILITES_HUMAINES_SKILL,Mobilités humaines,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Mondialisation,MONDIALISATION_SKILL,Mondialisation,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Risques naturels,RISQUES_NATURELS_SKILL,Risques naturels,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Union européenne,UNION_EUROPEENNE_SKILL,Union européenne,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
GEOGRAPHY,Urbanisation,URBANISATION_SKILL,Urbanisation,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
HISTORY,Colonisation,COLONISATION_SKILL,Colonisation,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
HISTORY,Construction européenne,CONSTRUCTION_EUROPEENNE_SKILL,Construction européenne,MEDIUM,13,0,0,0,0,2,1,0,0,13,OFFICIAL_BUT_UNCERTIFIED
HISTORY,Empire napoléonien,EMPIRE_NAPOLEONIEN_SKILL,Empire napoléonien,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
HISTORY,Guerre froide,GUERRE_FROIDE_SKILL,Guerre froide,CRITICAL,36,0,0,0,0,5,5,0,0,36,OFFICIAL_BUT_UNCERTIFIED
HISTORY,Industrialisation,INDUSTRIALISATION_SKILL,Industrialisation,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
HISTORY,Première Guerre mondiale,PREMIERE_GUERRE_MONDIALE_SKILL,Première Guerre mondiale,MEDIUM,19,0,0,0,0,4,4,0,0,19,OFFICIAL_BUT_UNCERTIFIED
HISTORY,Révolution française,REVOLUTION_FRANCAISE_SKILL,Révolution française,CRITICAL,0,0,0,0,0,0,0,0,0,0,GAP
HISTORY,Seconde Guerre mondiale,SECONDE_GUERRE_MONDIALE_SKILL,Seconde Guerre mondiale,CRITICAL,7,0,0,0,0,3,3,0,2,5,OFFICIAL_BUT_UNCERTIFIED
HISTORY,Société au XIXe siècle,SOCIETE_AU_XIXE_SIECLE_SKILL,Société au XIXe siècle,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
HISTORY,Totalitarismes,TOTALITARISMES_SKILL,Totalitarismes,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
MATHEMATICS,Aires et volumes,AIRES_ET_VOLUMES_SKILL,Aires et volumes,MEDIUM,109,0,0,0,0,7,5,0,0,109,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Algorithmique,ALGORITHMIQUE_SKILL,Algorithmique,MEDIUM,4,0,0,0,0,3,1,0,0,4,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Calcul littéral,CALCUL_LITTERAL_SKILL,Calcul littéral,HIGH,39,0,0,0,0,6,8,0,0,39,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Conversions,CONVERSIONS_SKILL,Conversions,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
MATHEMATICS,Équations,EQUATIONS_SKILL,Équations,CRITICAL,4,0,0,0,0,3,4,0,0,4,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Fonctions,FONCTIONS_SKILL,Fonctions,CRITICAL,39,0,0,0,0,5,3,0,0,39,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Fractions,FRACTIONS_SKILL,Fractions,CRITICAL,0,0,0,0,0,0,0,0,0,0,GAP
MATHEMATICS,Nombres relatifs,NOMBRES_RELATIFS_SKILL,Nombres relatifs,MEDIUM,1,0,0,0,0,1,1,0,0,1,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Pourcentages,POURCENTAGES_SKILL,Pourcentages,HIGH,1,0,0,0,0,1,1,0,0,1,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Probabilités,PROBABILITES_SKILL,Probabilités,HIGH,20,0,0,0,0,5,2,0,0,20,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Proportionnalité,PROPORTIONNALITE_SKILL,Proportionnalité,CRITICAL,4,0,0,0,0,2,2,0,0,4,OFFICIAL_BUT_UNCERTIFIED
MATHEMATICS,Puissances,PUISSANCES_SKILL,Puissances,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
MATHEMATICS,Pythagore,PYTHAGORE_SKILL,Pythagore,CRITICAL,0,0,0,0,0,0,0,0,0,0,GAP
MATHEMATICS,Statistiques,STATISTIQUES_SKILL,Statistiques,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
MATHEMATICS,Thalès,THALES_SKILL,Thalès,CRITICAL,0,0,0,0,0,0,0,0,0,0,GAP
ORAL,Projet oral,ORAL_DEFENSE,Soutenance orale,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
PHYSICS_CHEMISTRY,Acides et bases,ACIDES_ET_BASES_SKILL,Acides et bases,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
PHYSICS_CHEMISTRY,Atomes et molécules,ATOMES_ET_MOLECULES_SKILL,Atomes et molécules,MEDIUM,1,0,0,0,0,1,1,0,0,1,OFFICIAL_BUT_UNCERTIFIED
PHYSICS_CHEMISTRY,Électricité,ELECTRICITE_SKILL,Électricité,HIGH,1,0,0,0,0,1,1,0,0,1,OFFICIAL_BUT_UNCERTIFIED
PHYSICS_CHEMISTRY,Énergie,ENERGIE_SKILL,Énergie,HIGH,10,0,0,0,0,5,5,0,0,10,OFFICIAL_BUT_UNCERTIFIED
PHYSICS_CHEMISTRY,Forces,FORCES_SKILL,Forces,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
PHYSICS_CHEMISTRY,Lumière,LUMIERE_SKILL,Lumière,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
PHYSICS_CHEMISTRY,Masse volumique,MASSE_VOLUMIQUE_SKILL,Masse volumique,MEDIUM,3,0,0,0,0,2,3,0,0,3,OFFICIAL_BUT_UNCERTIFIED
PHYSICS_CHEMISTRY,Mouvement et vitesse,MOUVEMENT_ET_VITESSE_SKILL,Mouvement et vitesse,MEDIUM,1,0,0,0,0,1,1,0,0,1,OFFICIAL_BUT_UNCERTIFIED
PHYSICS_CHEMISTRY,Réactions chimiques,REACTIONS_CHIMIQUES_SKILL,Réactions chimiques,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
PHYSICS_CHEMISTRY,Son,SON_SKILL,Son,MEDIUM,4,0,0,0,0,4,3,0,0,4,OFFICIAL_BUT_UNCERTIFIED
SVT,ADN et génétique,ADN_ET_GENETIQUE_SKILL,ADN et génétique,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Cellule,CELLULE_SKILL,Cellule,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Climat,CLIMAT_SKILL,Climat,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Écosystèmes,ECOSYSTEMES_SKILL,Écosystèmes,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Évolution,EVOLUTION_SKILL,Évolution,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Géologie,GEOLOGIE_SKILL,Géologie,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Immunité,IMMUNITE_SKILL,Immunité,HIGH,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Nutrition et digestion,NUTRITION_ET_DIGESTION_SKILL,Nutrition et digestion,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Reproduction,REPRODUCTION_SKILL,Reproduction,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
SVT,Respiration et circulation,RESPIRATION_ET_CIRCULATION_SKILL,Respiration et circulation,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
TECHNOLOGY,Chaîne d'énergie,CHAINE_D_ENERGIE_SKILL,Chaîne d'énergie,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
TECHNOLOGY,Chaîne d'information,CHAINE_D_INFORMATION_SKILL,Chaîne d'information,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
TECHNOLOGY,Objets techniques,OBJETS_TECHNIQUES_SKILL,Objets techniques,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
TECHNOLOGY,Programmation,PROGRAMMATION_SKILL,Programmation,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
TECHNOLOGY,Réseaux,RESEAUX_SKILL,Réseaux,MEDIUM,0,0,0,0,0,0,0,0,0,0,GAP
