question_id,subject,year,skill,issue_type,priority,mapping_confidence,compatibility_confidence,reliability_score,warnings
2036,SCIENCES,2023,ENERGIE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,106.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2246,SCIENCES,2024,ENERGIE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,106.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2794,SCIENCES,2026,SON_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,106.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2881,SCIENCES,2024,ENERGIE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,106.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
3003,SCIENCES,2020,ENERGIE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,106.7,0.55,0.75,0.633,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2153,SCIENCES,2023,ENERGIE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,105.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2576,SCIENCES,2025,ENERGIE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,105.98,0.67,0.75,0.651,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2172,HISTORY_GEOGRAPHY_EMC,2023,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2203,HISTORY_GEOGRAPHY_EMC,2024,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2207,HISTORY_GEOGRAPHY_EMC,2024,GUERRE_FROIDE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2681,HISTORY_GEOGRAPHY_EMC,2025,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2682,HISTORY_GEOGRAPHY_EMC,2025,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2683,HISTORY_GEOGRAPHY_EMC,2025,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2883,HISTORY_GEOGRAPHY_EMC,2024,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2884,HISTORY_GEOGRAPHY_EMC,2024,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2886,HISTORY_GEOGRAPHY_EMC,2024,PREMIERE_GUERRE_MONDIALE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,100.26,0.79,0.75,0.668,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2258,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2259,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2260,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2261,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2262,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2263,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2363,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2364,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2365,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2366,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2418,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2419,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2420,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2421,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2422,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2424,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2425,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2437,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2707,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2708,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2709,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2710,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2711,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2712,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2713,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2714,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2715,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2716,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2717,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2718,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2719,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2720,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2721,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2722,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2727,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2728,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2729,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2730,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2731,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2732,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2733,FRENCH,,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED,98.08,0.67,0.9,0.473,ASSET_MISSING|MISSING_ARCHIVE_LINK|SHARED_CONTEXT_OR_ASSET_REFERENCED
2181,MATHEMATICS,2023,PROPORTIONNALITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.9,0.55,0.75,0.603,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2640,FRENCH,2025,ACCORDS_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.9,0.55,0.75,0.603,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2079,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2080,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2081,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2082,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2083,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2084,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2085,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2086,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2087,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2088,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2089,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2090,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2091,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2092,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2093,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2094,FRENCH,2023,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2247,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2249,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2257,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2361,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2367,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2368,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2369,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2370,FRENCH,2024,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2616,FRENCH,2025,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
2617,FRENCH,2025,EXPRESSION_ECRITE_SKILL,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED,92.18,0.67,0.75,0.621,ASSET_MISSING|SHARED_CONTEXT_OR_ASSET_REFERENCED
