grade_code,subject_code,subject_label,chapter_code,chapter_title,chapter_status,skill_code,skill_title,content_type,content_family,difficulty,approved_production_count,draft_count,eligible_for_homework
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-WRITE,Rédiger un texte organisé,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-COMMUNICATION,"Compréhension, expression et interaction",approved,SK-ENR-ENGLISH-4E-COMMUNICATION-WRITE,Rédiger un texte organisé,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENGLISH-4E-LANGUAGE,Mobiliser les formes linguistiques et reformuler un message,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENGLISH-4E-LANGUAGE,Mobiliser les formes linguistiques et reformuler un message,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR,Mobiliser les structures grammaticales attendues,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-GRAMMAR,Mobiliser les structures grammaticales attendues,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-MEDIATION,Reformuler un message pour autrui,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-MEDIATION,Reformuler un message pour autrui,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-PHONOLOGY,Produire une prosodie intelligible,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-PHONOLOGY,Produire une prosodie intelligible,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-TENSE,Choisir temps et aspect,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-TENSE,Choisir temps et aspect,practice,practice,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-VOCAB,Employer un lexique nuancé,assessment,assessment,2,0,1,False
FR-4E,ENGLISH,Anglais,CH-ENGLISH-4E-LANGUAGE,Système linguistique et médiation,approved,SK-ENR-ENGLISH-4E-LANGUAGE-VOCAB,Employer un lexique nuancé,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-EMC-4E-INFORMATION,Évaluer une information et argumenter de manière raisonnée,exam_practice,assessment,2,1,0,True
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-EMC-4E-INFORMATION,Évaluer une information et argumenter de manière raisonnée,exercise,practice,2,1,0,True
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-ARGUMENT,Identifier un argument fallacieux,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-ARGUMENT,Identifier un argument fallacieux,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-FACT_OPINION,"Distinguer fait, opinion et croyance",assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-FACT_OPINION,"Distinguer fait, opinion et croyance",practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-IMAGE,Vérifier le contexte d'une image,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-IMAGE,Vérifier le contexte d'une image,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-PUBLISH,Adopter une publication responsable,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-PUBLISH,Adopter une publication responsable,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-SOURCE,Évaluer la fiabilité d'une source,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-INFORMATION,"Information, opinion et esprit critique",approved,SK-ENR-EMC-4E-INFORMATION-SOURCE,Évaluer la fiabilité d'une source,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-EMC-4E-LIBERTIES,"Confronter libertés, responsabilités et règles de droit",exam_practice,assessment,2,1,0,True
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-EMC-4E-LIBERTIES,"Confronter libertés, responsabilités et règles de droit",exercise,practice,2,1,0,True
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-ARGUE,Justifier juridiquement une position,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-ARGUE,Justifier juridiquement une position,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-BALANCE,Arbitrer entre libertés concurrentes,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-BALANCE,Arbitrer entre libertés concurrentes,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LAW,Relier une situation à l'État de droit,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LAW,Relier une situation à l'État de droit,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIBERTY,Identifier une liberté fondamentale,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIBERTY,Identifier une liberté fondamentale,practice,practice,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIMIT,Expliquer la limite légale d'une liberté,assessment,assessment,2,0,1,False
FR-4E,EMC,EMC,CH-EMC-4E-LIBERTIES,Libertés et État de droit,approved,SK-ENR-EMC-4E-LIBERTIES-LIMIT,Expliquer la limite légale d'une liberté,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-INTERACT,Interagir dans une situation variée,exam_practice,assessment,2,1,0,True
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-INTERACT,Interagir dans une situation variée,exercise,practice,2,1,0,True
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-LISTEN,Comprendre un message oral contextualisé,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-LISTEN,Comprendre un message oral contextualisé,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-READ,Comprendre un texte court,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-READ,Comprendre un texte court,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-SPEAK,Produire un propos continu,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-SPEAK,Produire un propos continu,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-WRITE,Rédiger un texte bref,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-ENR-SPANISH-4E-COMMUNICATION-WRITE,Rédiger un texte bref,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-SPANISH-4E-COMMUNICATION,"Comprendre, produire et interagir dans des situations variées",assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-COMMUNICATION,Communication et interaction,approved,SK-SPANISH-4E-COMMUNICATION,"Comprendre, produire et interagir dans des situations variées",practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-CULTURE,Interpréter un document culturel,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-CULTURE,Interpréter un document culturel,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-GRAMMAR,Utiliser les structures étudiées,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-GRAMMAR,Utiliser les structures étudiées,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY,Produire une parole intelligible,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-PHONOLOGY,Produire une parole intelligible,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-TENSE,Employer les temps attendus,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-TENSE,Employer les temps attendus,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-VOCAB,Mobiliser un lexique contextualisé,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-ENR-SPANISH-4E-LANGUAGE-VOCAB,Mobiliser un lexique contextualisé,practice,practice,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-SPANISH-4E-LANGUAGE,Mobiliser la langue pour interpréter des documents culturels,assessment,assessment,2,0,1,False
FR-4E,SPANISH,Espagnol,CH-SPANISH-4E-LANGUAGE,Repères linguistiques et culturels,approved,SK-SPANISH-4E-LANGUAGE,Mobiliser la langue pour interpréter des documents culturels,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-EXPLICIT,Prélever une information explicite,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INFER,Construire une inférence,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-INTERPRET,Justifier une interprétation,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-METHOD,Analyser un procédé,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-ENR-FRENCH-4E-COMPREHENSION-VIEWPOINT,Identifier un point de vue,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-FRENCH-4E-COMPREHENSION,Mobiliser : Compréhension,exam_practice,assessment,2,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-FRENCH-4E-COMPREHENSION,Mobiliser : Compréhension,exercise,practice,3,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-COMPREHENSION,Compréhension,approved,SK-FRENCH-4E-COMPREHENSION,Mobiliser : Compréhension,worked_example,other,2,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-CONCORDANCE,Assurer la cohérence temporelle,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-INDICATIVE,Conjuguer les temps de l'indicatif étudiés,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-INDICATIVE,Conjuguer les temps de l'indicatif étudiés,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-INDICATIVE,Conjuguer les temps de l'indicatif étudiés,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-INDICATIVE,Conjuguer les temps de l'indicatif étudiés,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-REWRITE,Transformer temps et personne,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-REWRITE,Transformer temps et personne,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-REWRITE,Transformer temps et personne,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-REWRITE,Transformer temps et personne,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-SUBJUNCTIVE,Reconnaître et employer le subjonctif attendu,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-SUBJUNCTIVE,Reconnaître et employer le subjonctif attendu,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-SUBJUNCTIVE,Reconnaître et employer le subjonctif attendu,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-SUBJUNCTIVE,Reconnaître et employer le subjonctif attendu,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-TENSE_VALUE,Interpréter la valeur d'un temps,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-TENSE_VALUE,Interpréter la valeur d'un temps,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-TENSE_VALUE,Interpréter la valeur d'un temps,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-ENR-FRENCH-4E-CONJUGATION-TENSE_VALUE,Interpréter la valeur d'un temps,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-FRENCH-4E-CONJUGATION,Mobiliser : Conjugaison,exam_practice,assessment,2,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-FRENCH-4E-CONJUGATION,Mobiliser : Conjugaison,exercise,practice,3,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-CONJUGATION,Conjugaison,approved,SK-FRENCH-4E-CONJUGATION,Mobiliser : Conjugaison,worked_example,other,2,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-CLAUSES,Délimiter et relier les propositions,exam_practice,assessment,2,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-CLAUSES,Délimiter et relier les propositions,exercise,practice,2,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-CLAUSES,Délimiter et relier les propositions,exercise,practice,3,1,0,True
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,assessment,assessment,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,diagnostic,diagnostic,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,practice,practice,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,practice,practice,2,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,practice,practice,3,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,remediation,remediation,1,0,1,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-FUNCTIONS,Analyser les fonctions dans la phrase complexe,revision,revision,2,0,3,False
FR-4E,FRENCH,Français,CH-FRENCH-4E-GRAMMAR,Grammaire,approved,SK-ENR-FRENCH-4E-GRAMMAR-TRANSFORM,Transformer une phrase en conservant son sens,assessment,assessment,2,0,1,False
