subject,chapter,skill,subskill,trainability,direct_count,embedded_count,coverage_status
EMC,Engagement,Engagement des jeunes,Au collège / lycée,AUTONOMOUS,8,8,COMPLETE
EMC,Engagement,Engagement des jeunes,Projets citoyens,AUTONOMOUS,8,8,COMPLETE
EMC,Engagement,Formes d'engagement,Associatif,AUTONOMOUS,8,8,COMPLETE
EMC,Engagement,Formes d'engagement,Solidarité,AUTONOMOUS,8,8,COMPLETE
EMC,Engagement,Formes d'engagement,Syndical / politique,AUTONOMOUS,8,8,COMPLETE
EMC,Institutions démocratiques,Institutions locales et européennes,Collectivités,AUTONOMOUS,8,8,COMPLETE
EMC,Institutions démocratiques,Institutions locales et européennes,Institutions européennes,AUTONOMOUS,8,8,COMPLETE
EMC,Institutions démocratiques,Organisation des pouvoirs,Exécutif,AUTONOMOUS,8,8,COMPLETE
EMC,Institutions démocratiques,Organisation des pouvoirs,Judiciaire,AUTONOMOUS,8,8,COMPLETE
EMC,Institutions démocratiques,Organisation des pouvoirs,Législatif,AUTONOMOUS,8,8,COMPLETE
EMC,Laïcité,Laïcité en pratique,Liberté de conscience,AUTONOMOUS,8,8,COMPLETE
EMC,Laïcité,Laïcité en pratique,Études de cas,AUTONOMOUS,8,8,COMPLETE
EMC,Laïcité,Principe de laïcité,Construction historique,AUTONOMOUS,8,8,COMPLETE
EMC,Laïcité,Principe de laïcité,Laïcité à l'école,AUTONOMOUS,8,8,COMPLETE
EMC,Laïcité,Principe de laïcité,Loi de 1905,AUTONOMOUS,8,8,COMPLETE
EMC,"Médias, information et esprit critique",Esprit critique,Analyser un message,AUTONOMOUS,8,8,COMPLETE
EMC,"Médias, information et esprit critique",Esprit critique,Usage citoyen des médias,AUTONOMOUS,8,8,COMPLETE
EMC,"Médias, information et esprit critique",S'informer,Désinformation,AUTONOMOUS,8,8,COMPLETE
EMC,"Médias, information et esprit critique",S'informer,Fiabilité,AUTONOMOUS,8,8,COMPLETE
EMC,"Médias, information et esprit critique",S'informer,Sources,AUTONOMOUS,8,8,COMPLETE
EMC,Valeurs et principes de la République,"Liberté, égalité, fraternité",Fraternité,AUTONOMOUS,8,8,COMPLETE
EMC,Valeurs et principes de la République,"Liberté, égalité, fraternité",Liberté,AUTONOMOUS,8,8,COMPLETE
EMC,Valeurs et principes de la République,"Liberté, égalité, fraternité",Égalité,AUTONOMOUS,8,8,COMPLETE
EMC,Valeurs et principes de la République,Principes républicains,Indivisibilité,AUTONOMOUS,8,8,COMPLETE
EMC,Valeurs et principes de la République,Principes républicains,Souveraineté,AUTONOMOUS,8,8,COMPLETE
FRENCH,Argumentation,Construire une thèse,Illustrer par des exemples,AUTONOMOUS,8,8,COMPLETE
FRENCH,Argumentation,Construire une thèse,Prendre position,AUTONOMOUS,8,8,COMPLETE
FRENCH,Argumentation,Construire une thèse,Sélectionner des arguments,AUTONOMOUS,8,8,COMPLETE
FRENCH,Argumentation,Structurer un paragraphe argumentatif,Conclure,AUTONOMOUS,8,8,COMPLETE
FRENCH,Argumentation,Structurer un paragraphe argumentatif,Connecteurs,AUTONOMOUS,8,8,COMPLETE
FRENCH,Argumentation,Structurer un paragraphe argumentatif,Progression,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension de textes,Comprendre le sens global,Identifier le thème,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension de textes,Comprendre le sens global,Résumer,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension de textes,Comprendre le sens global,Saisir l'enjeu du texte,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension de textes,Inférer des informations implicites,Croiser des indices,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension de textes,Inférer des informations implicites,Déduire un sens,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension de textes,Repérer des informations explicites,Localiser une information,AUTONOMOUS,16,16,COMPLETE
FRENCH,Compréhension de textes,Repérer des informations explicites,S'appuyer sur le texte,AUTONOMOUS,16,16,COMPLETE
FRENCH,Compréhension de textes,Repérer des informations explicites,Sélectionner l'essentiel,AUTONOMOUS,16,16,COMPLETE
FRENCH,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,Dictée,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,Exercice de réécriture,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension et compétences linguistiques (DNB),Compétences linguistiques,Questions de grammaire,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension et compétences linguistiques (DNB),Questions de compréhension,Justifier brièvement,AUTONOMOUS,8,8,COMPLETE
FRENCH,Compréhension et compétences linguistiques (DNB),Questions de compréhension,Répondre à partir du texte,AUTONOMOUS,8,8,COMPLETE
FRENCH,Conjugaison,Accords du verbe,Groupes verbaux,AUTONOMOUS,8,8,COMPLETE
FRENCH,Conjugaison,Accords du verbe,Personne et nombre,AUTONOMOUS,8,8,COMPLETE
FRENCH,Conjugaison,Accords du verbe,Temps composés,AUTONOMOUS,8,8,COMPLETE
FRENCH,Conjugaison,Temps et modes,Conditionnel,AUTONOMOUS,8,8,COMPLETE
FRENCH,Conjugaison,Temps et modes,"Indicatif (présent, passé, futur)",AUTONOMOUS,8,8,COMPLETE
FRENCH,Conjugaison,Temps et modes,Subjonctif courant,AUTONOMOUS,8,8,COMPLETE
FRENCH,Dictée,Orthographe en situation,Orthographe grammaticale,AUTONOMOUS,8,8,COMPLETE
FRENCH,Dictée,Orthographe en situation,Orthographe lexicale,AUTONOMOUS,8,8,COMPLETE
FRENCH,Dictée,Stratégies de relecture,Contrôler les accords du GN,AUTONOMOUS,8,8,COMPLETE
FRENCH,Dictée,Stratégies de relecture,Contrôler les verbes,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Genres d'écrits,Descriptif,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Genres d'écrits,Explicatif,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Genres d'écrits,Narratif,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Organiser un écrit,Générer des idées,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Organiser un écrit,Paragraphes,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Organiser un écrit,Planifier,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Qualité de l'expression,Correction linguistique,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Qualité de l'expression,Précision lexicale,AUTONOMOUS,8,8,COMPLETE
FRENCH,Expression écrite,Qualité de l'expression,Variété syntaxique,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Classes grammaticales,Adverbes / prépositions / conjonctions,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Classes grammaticales,Déterminants / pronoms,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Classes grammaticales,Nature des mots,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Fonctions dans la phrase,COD / COI,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Fonctions dans la phrase,Compléments circonstanciels,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Fonctions dans la phrase,Sujet,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Phrase simple et complexe,Ponctuation,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Phrase simple et complexe,Propositions,AUTONOMOUS,8,8,COMPLETE
FRENCH,Grammaire et syntaxe,Phrase simple et complexe,Subordination / coordination,AUTONOMOUS,8,8,COMPLETE
FRENCH,Interprétation et analyse,Point de vue et intentions,Effets sur le lecteur,AUTONOMOUS,8,8,COMPLETE
FRENCH,Interprétation et analyse,Point de vue et intentions,Justifier une interprétation,AUTONOMOUS,8,8,COMPLETE
FRENCH,Interprétation et analyse,Point de vue et intentions,Narrateur / locuteur,AUTONOMOUS,12,12,COMPLETE
FRENCH,Interprétation et analyse,Procédés d'écriture,Choix lexicaux,AUTONOMOUS,10,10,COMPLETE
FRENCH,Interprétation et analyse,Procédés d'écriture,Figures de style,AUTONOMOUS,8,8,COMPLETE
FRENCH,Interprétation et analyse,Procédés d'écriture,Registres,AUTONOMOUS,8,8,COMPLETE
FRENCH,Orthographe et accords,Accord sujet-verbe,Sujet inversé / éloigné,AUTONOMOUS,8,8,COMPLETE
FRENCH,Orthographe et accords,Accord sujet-verbe,Sujet simple,AUTONOMOUS,8,8,COMPLETE
FRENCH,Orthographe et accords,Accords dans le groupe nominal,Déterminant / nom / adjectif,AUTONOMOUS,8,8,COMPLETE
FRENCH,Orthographe et accords,Accords dans le groupe nominal,Participe passé,AUTONOMOUS,8,8,COMPLETE
FRENCH,Orthographe et accords,Orthographe lexicale,Mots courants et homophones,AUTONOMOUS,8,8,COMPLETE
FRENCH,Orthographe et accords,Orthographe lexicale,Règles d'usage,AUTONOMOUS,8,8,COMPLETE
FRENCH,Rédaction DNB,Produire un texte abouti,Critères d'évaluation,AUTONOMOUS,8,8,COMPLETE
FRENCH,Rédaction DNB,Produire un texte abouti,Respecter la longueur attendue,AUTONOMOUS,8,8,COMPLETE
FRENCH,Rédaction DNB,Produire un texte abouti,Se relire,AUTONOMOUS,8,8,COMPLETE
FRENCH,Rédaction DNB,Traiter le sujet,Comprendre la consigne,AUTONOMOUS,8,8,COMPLETE
FRENCH,Rédaction DNB,Traiter le sujet,Sujet d'imagination / réflexion,AUTONOMOUS,8,8,COMPLETE
FRENCH,Réécriture,Maintenir la cohérence,Préserver le sens,AUTONOMOUS,8,8,COMPLETE
FRENCH,Réécriture,Maintenir la cohérence,Réaccorder,AUTONOMOUS,8,8,COMPLETE
FRENCH,Réécriture,Transformer un texte,Changer de registre,AUTONOMOUS,8,8,COMPLETE
FRENCH,Réécriture,Transformer un texte,Changer personne / temps,AUTONOMOUS,8,8,COMPLETE
FRENCH,Réécriture,Transformer un texte,Expansion / réduction,AUTONOMOUS,8,8,COMPLETE
FRENCH,Vocabulaire,Formation des mots,Familles de mots,AUTONOMOUS,8,8,COMPLETE
FRENCH,Vocabulaire,Formation des mots,Préfixes / suffixes,AUTONOMOUS,14,14,COMPLETE
FRENCH,Vocabulaire,Sens des mots,Nuances et synonymes,AUTONOMOUS,12,12,COMPLETE
FRENCH,Vocabulaire,Sens des mots,Polysémie,AUTONOMOUS,8,8,COMPLETE
FRENCH,Vocabulaire,Sens des mots,Sens en contexte,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Aménagement du territoire,Acteurs de l'aménagement,Acteurs privés,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Aménagement du territoire,Acteurs de l'aménagement,Acteurs publics,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Aménagement du territoire,Acteurs de l'aménagement,Concertation,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Aménagement du territoire,Enjeux d'aménagement,Accessibilité,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Aménagement du territoire,Enjeux d'aménagement,Développement durable,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Aménagement du territoire,Enjeux d'aménagement,Équilibres territoriaux,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Inégalités et fractures territoriales,Acteurs et politiques,Collectivités,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Inégalités et fractures territoriales,Acteurs et politiques,Rôle de l'État,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Inégalités et fractures territoriales,Contrastes du territoire français,Attractivité / déclin,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Inégalités et fractures territoriales,Contrastes du territoire français,Densités,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Inégalités et fractures territoriales,Contrastes du territoire français,Outre-mer,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,La France dans l'Union européenne,Politiques européennes,Cohésion territoriale,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,La France dans l'Union européenne,Politiques européennes,Place de la France,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,La France dans l'Union européenne,Politiques européennes,Politiques communes (ex. PAC),AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,La France dans l'Union européenne,Territoire européen,Dorsale européenne,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,La France dans l'Union européenne,Territoire européen,Frontières,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,La France dans l'Union européenne,Territoire européen,États membres,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,"La France, une influence mondiale",Présence stratégique,Engagements internationaux,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,"La France, une influence mondiale",Présence stratégique,Outre-mer,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,"La France, une influence mondiale",Rayonnement,Culture / diplomatie,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,"La France, une influence mondiale",Rayonnement,Francophonie,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Les espaces productifs et leurs évolutions,Espaces agricoles,Mutations,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Les espaces productifs et leurs évolutions,Espaces agricoles,Systèmes agricoles,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Les espaces productifs et leurs évolutions,Espaces industriels et de services,Innovation / technopoles,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Les espaces productifs et leurs évolutions,Espaces industriels et de services,Tertiarisation,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Les espaces productifs et leurs évolutions,Espaces industriels et de services,Zones industrialo-portuaires,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Risques et transitions,Risques et vulnérabilités,Prévention,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Risques et transitions,Risques et vulnérabilités,Risques naturels,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Risques et transitions,Risques et vulnérabilités,Risques technologiques,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Risques et transitions,Transitions énergétiques et écologiques,Climat,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Risques et transitions,Transitions énergétiques et écologiques,Énergie,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Urbanisation et attractivité des territoires,Mobilités et espaces de vie,Navettes,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Urbanisation et attractivité des territoires,Mobilités et espaces de vie,Périurbanisation,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Urbanisation et attractivité des territoires,Métropolisation,Aires urbaines,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Urbanisation et attractivité des territoires,Métropolisation,Fonctions métropolitaines,AUTONOMOUS,8,8,COMPLETE
GEOGRAPHY,Urbanisation et attractivité des territoires,Métropolisation,Hiérarchie urbaine,AUTONOMOUS,8,8,COMPLETE
HISTORY,Affirmation et mise en œuvre du projet européen,Approfondissement et élargissements,CEE / marché commun,AUTONOMOUS,8,8,COMPLETE
HISTORY,Affirmation et mise en œuvre du projet européen,Approfondissement et élargissements,Enjeux contemporains,AUTONOMOUS,8,8,COMPLETE
HISTORY,Affirmation et mise en œuvre du projet européen,Approfondissement et élargissements,Union européenne,AUTONOMOUS,8,8,COMPLETE
HISTORY,Affirmation et mise en œuvre du projet européen,Origines du projet européen,Après 1945,AUTONOMOUS,8,8,COMPLETE
HISTORY,Affirmation et mise en œuvre du projet européen,Origines du projet européen,Pères fondateurs / traités,AUTONOMOUS,8,8,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Démocraties face à la crise,Crise de 1929,AUTONOMOUS,12,12,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Démocraties face à la crise,Réponses démocratiques (ex. Front populaire),AUTONOMOUS,8,8,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Pratiques totalitaires,Culte du chef,AUTONOMOUS,8,8,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Pratiques totalitaires,Propagande,AUTONOMOUS,8,8,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Pratiques totalitaires,Répression et terreur,AUTONOMOUS,8,8,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Régimes totalitaires,Fascisme italien,AUTONOMOUS,8,8,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Régimes totalitaires,Nazisme,AUTONOMOUS,12,12,COMPLETE
HISTORY,Démocraties et totalitarismes dans l'Europe de l'entre-deux-guerres,Régimes totalitaires,Stalinisme,AUTONOMOUS,8,8,COMPLETE
HISTORY,Enjeux et conflits dans le monde après 1989,Conflits et terrorisme,Conflits régionaux,AUTONOMOUS,8,8,COMPLETE
HISTORY,Enjeux et conflits dans le monde après 1989,Conflits et terrorisme,Multilatéralisme / ONU,AUTONOMOUS,8,8,COMPLETE
HISTORY,Enjeux et conflits dans le monde après 1989,Conflits et terrorisme,Terrorisme international,AUTONOMOUS,8,8,COMPLETE
HISTORY,Enjeux et conflits dans le monde après 1989,Nouvel ordre mondial,Fin du bipolarisme,AUTONOMOUS,8,8,COMPLETE
HISTORY,Enjeux et conflits dans le monde après 1989,Nouvel ordre mondial,Nouvelles puissances,AUTONOMOUS,8,8,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Immigration et société française,Intégration / débats,AUTONOMOUS,8,8,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Immigration et société française,Migrations,AUTONOMOUS,8,8,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Place des femmes,Droits des femmes,AUTONOMOUS,16,16,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Place des femmes,Inégalités et conquêtes,AUTONOMOUS,11,11,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Transformations sociales,Jeunesse et culture,AUTONOMOUS,16,16,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Transformations sociales,Société de consommation,AUTONOMOUS,16,16,COMPLETE
HISTORY,Femmes et hommes dans la société des années 1950 aux années 1980,Transformations sociales,Travail et modes de vie,AUTONOMOUS,16,16,COMPLETE
HISTORY,Indépendances et construction de nouveaux États,Nouveaux États,Enjeux politiques et économiques,AUTONOMOUS,8,8,COMPLETE
HISTORY,Indépendances et construction de nouveaux États,Nouveaux États,Non-alignement / Tiers monde,AUTONOMOUS,8,8,COMPLETE
HISTORY,Indépendances et construction de nouveaux États,Processus de décolonisation,Acteurs et formes (négociée / conflictuelle),AUTONOMOUS,8,8,COMPLETE
HISTORY,Indépendances et construction de nouveaux États,Processus de décolonisation,Afrique,AUTONOMOUS,8,8,COMPLETE
HISTORY,Indépendances et construction de nouveaux États,Processus de décolonisation,Asie,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Défaite et occupation,Défaite de 1940,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Défaite et occupation,Occupation,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Défaite et occupation,Zones et quotidien,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Résistances,Actes de résistance,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Résistances,France libre,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Résistances,Résistance intérieure,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Vichy et Collaboration,Collaboration,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Vichy et Collaboration,Politique antisémite,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La France défaite et occupée ; régime de Vichy, Collaboration, Résistance",Vichy et Collaboration,État français,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience combattante,Guerre de tranchées,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience combattante,Témoignages combattants,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience combattante,Violence de masse,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience des civils,Front intérieur,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience des civils,Opinion et propagande,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Expérience des civils,Rôle des femmes,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Sorties de guerre,Armistice et traités,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Première Guerre mondiale : l'expérience combattante et l'expérience des civils,Sorties de guerre,Bilans humains et politiques,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La Seconde Guerre mondiale, une guerre d'anéantissement",Guerre mondiale et anéantissement,Bombardements / guerre totale,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La Seconde Guerre mondiale, une guerre d'anéantissement",Guerre mondiale et anéantissement,Crimes de masse,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La Seconde Guerre mondiale, une guerre d'anéantissement",Guerre mondiale et anéantissement,Fronts et coalitions,AUTONOMOUS,8,8,COMPLETE
HISTORY,"La Seconde Guerre mondiale, une guerre d'anéantissement",Génocide des Juifs et des Tsiganes,Antisémitisme nazi,AUTONOMOUS,16,16,COMPLETE
HISTORY,"La Seconde Guerre mondiale, une guerre d'anéantissement",Génocide des Juifs et des Tsiganes,Camps et extermination,AUTONOMOUS,14,14,COMPLETE
HISTORY,"La Seconde Guerre mondiale, une guerre d'anéantissement",Génocide des Juifs et des Tsiganes,Mémoires,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Ve République,Institutions de la Ve République,Constitution de 1958,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Ve République,Institutions de la Ve République,Rôle du président,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Ve République,Institutions de la Ve République,Équilibres des pouvoirs,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Ve République,Évolutions politiques,Alternances,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Ve République,Évolutions politiques,Réformes majeures,AUTONOMOUS,8,8,COMPLETE
HISTORY,La Ve République,Évolutions politiques,Société et politique,AUTONOMOUS,8,8,COMPLETE
HISTORY,"Refonder la République, redéfinir la démocratie (1944-1947)",IVe République,Constitution de 1946,AUTONOMOUS,8,8,COMPLETE
HISTORY,"Refonder la République, redéfinir la démocratie (1944-1947)",IVe République,Réformes sociales,AUTONOMOUS,8,8,COMPLETE
HISTORY,"Refonder la République, redéfinir la démocratie (1944-1947)",Libération et refondation,Droits (vote des femmes),AUTONOMOUS,8,8,COMPLETE
HISTORY,"Refonder la République, redéfinir la démocratie (1944-1947)",Libération et refondation,GPRF,AUTONOMOUS,8,8,COMPLETE
HISTORY,"Refonder la République, redéfinir la démocratie (1944-1947)",Libération et refondation,Épuration,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Blocs Est / Ouest,Affrontement idéologique,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Blocs Est / Ouest,Alliances,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Blocs Est / Ouest,Origines,AUTONOMOUS,11,11,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Crises et conflits,Berlin,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Crises et conflits,Cuba,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Crises et conflits,Guerres proxy,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Fin de la Guerre froide,1989,AUTONOMOUS,8,8,COMPLETE
HISTORY,Un monde bipolaire au temps de la Guerre froide,Fin de la Guerre froide,Dislocation de l'URSS,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Agrandissement et réduction,Facteur d'échelle,Effet sur les aires,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Agrandissement et réduction,Facteur d'échelle,Effet sur les longueurs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Agrandissement et réduction,Facteur d'échelle,Effet sur les volumes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Agrandissement et réduction,Problèmes d'échelle,Figures semblables,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Agrandissement et réduction,Problèmes d'échelle,Plans et maquettes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Aires et volumes,Calculer des aires,Figures composées,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Aires et volumes,Calculer des aires,Figures planes usuelles,AUTONOMOUS,8,8,COMPLETE
