question_id,subject,skill,previous_status,final_status,reason,confidence,validator_version
2027,HISTORY_GEOGRAPHY_EMC,FONCTIONS_GRAMMATICALES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2028,HISTORY_GEOGRAPHY_EMC,FONCTIONS_GRAMMATICALES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2029,HISTORY_GEOGRAPHY_EMC,FONCTIONS_GRAMMATICALES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2030,HISTORY_GEOGRAPHY_EMC,FONCTIONS_GRAMMATICALES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2031,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2032,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2033,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2034,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2035,HISTORY_GEOGRAPHY_EMC,FONCTIONS_GRAMMATICALES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2036,SCIENCES,ENERGIE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2037,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2038,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2039,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2040,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2041,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2042,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2043,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2044,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2045,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2046,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2047,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2048,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2049,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2050,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2051,MATHEMATICS,FONCTIONS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2052,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2053,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2054,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2055,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2056,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2057,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2058,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2059,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2060,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2061,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2062,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2063,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2064,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2065,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2066,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2067,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2068,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2069,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2070,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2071,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2072,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2073,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2074,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2075,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2076,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2077,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2078,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2079,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2080,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2081,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2082,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2083,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2084,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2085,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2086,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2087,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2088,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2089,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2090,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2091,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2092,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2093,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2094,FRENCH,EXPRESSION_ECRITE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2095,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2096,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2097,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2098,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2099,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2100,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2101,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2102,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2103,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2104,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2105,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2106,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2107,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2108,FRENCH,COMPREHENSION_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2109,HISTORY_GEOGRAPHY_EMC,CONSTRUCTION_EUROPEENNE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2110,HISTORY_GEOGRAPHY_EMC,CONSTRUCTION_EUROPEENNE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2111,HISTORY_GEOGRAPHY_EMC,CONSTRUCTION_EUROPEENNE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2112,HISTORY_GEOGRAPHY_EMC,CONSTRUCTION_EUROPEENNE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2113,HISTORY_GEOGRAPHY_EMC,CONSTRUCTION_EUROPEENNE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2114,HISTORY_GEOGRAPHY_EMC,CONSTRUCTION_EUROPEENNE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2115,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2116,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2117,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2118,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2119,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2120,HISTORY_GEOGRAPHY_EMC,VOCABULAIRE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2121,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2122,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2123,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2124,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2125,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2126,MATHEMATICS,AIRES_ET_VOLUMES_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2127,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2128,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2129,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2130,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2131,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2132,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2133,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2134,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2135,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2136,MATHEMATICS,FONCTIONS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2137,MATHEMATICS,FONCTIONS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2138,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2139,MATHEMATICS,FONCTIONS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2140,MATHEMATICS,FONCTIONS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2141,MATHEMATICS,FONCTIONS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2142,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2143,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2144,MATHEMATICS,CALCUL_LITTERAL_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2145,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2146,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2147,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2148,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2149,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2150,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2151,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2152,MATHEMATICS,NOMBRES_RELATIFS_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2153,SCIENCES,ENERGIE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2154,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2155,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2156,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2157,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2158,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2159,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2160,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2161,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2162,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2163,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2164,FRENCH,COMPREHENSION_SKILL,FALSE,TRUE,IN_PROGRAM_2027,0.92,lcai-0037-auto-cert-v1
2165,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
2166,HISTORY_GEOGRAPHY_EMC,REVOLUTION_FRANCAISE_SKILL,REVIEW,TRUE,IN_PROGRAM_2027,0.88,lcai-0037-auto-cert-v1
